"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT05","WT06","WT08","WT09"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-08-19","0.00",,,,"77","48",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-08-20","0.00",,,,"86","67",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-08-21","0.00",,,,"88","67",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-08-22","0.02",,,,"90","68",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-08-23","0.00",,,,"87","68",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-08-24","0.00",,,,"88","68",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-08-25","0.00",,,,"87","60","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-08-26","1.59",,,,"88","63","    1",,"    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-08-27","0.02",,,,"83","63",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-08-28","0.09",,,,"73","60","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-08-29","0.04",,,,"72","62","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-08-30","0.00",,,,"71","57",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-08-31","0.00",,,,"77","54",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-01","0.00",,,,"76","52",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-02","0.43",,,,"78","57","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-03","0.12",,,,"81","57",,,"    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-04","0.00",,,,"73","50",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-05","0.00",,,,"74","49",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-06","0.01",,,,"77","47",,,"    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-07","0.02",,,,"73","54",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-08","0.15",,,,"60","50",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-09","0.16",,,,"55","49","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-10","0.08",,,,"60","45","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-11","0.00",,,,"71","40",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-12","0.65",,,,"68","55","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-13","0.01",,,,"70","60","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-14","0.00",,,,"64","47",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-15","0.00",,,,"77","50",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-16","0.00",,,,"74","57",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-17","0.00",,,,"60","45",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-18","0.00",,,,"57","37",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-19","0.00",,,,"64","33",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-20","0.00",,,,"72","44",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-21","0.00",,,,"74","50",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-22","0.00","0.0","0.0",,"79","56",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-23","0.00","0.0","0.0",,"82","55","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-24","0.00","0.0","0.0",,"75","58","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-25","0.00",,,,"81","58","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-26","0.04",,,,"79","67",,,"    1",,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-27","0.00",,,,"73","60",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-28","0.46",,,,"60","54","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-29","0.06",,,,"61","48","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-09-30","0.44",,,,"62","49","    1",,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2020-10-01","0.21",,,,"54","44","    1",,,,,"    1",
